Position,Season,Tm,Lg,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG_pct,TS_pct,TOV_pct,ORB_pct,FT_FGA,Opp_eFG_pct,Opp_TS_pct,Opp_TOV_pct,Opp_ORB_pct,Opp _FT_FGA
0,2021-22,PHO,NBA,80,63,17,0.58,7.7,-0.57,7.13,99.8,114.9,107.2,0.55,0.582,11.6,22.1,0.178,0.509,0.501,13,15.9,0.194
0,2021-22,BOS,NBA,81,50,31,0.58,7.01,-0.33,6.68,96.5,114.1,106.9,0.541,0.577,12.4,23.9,0.196,0.502,0.535,12.5,20.5,0.184
0,2021-22,UTA,NBA,80,48,32,0.54,5.88,-0.34,5.54,97.1,116.8,110.8,0.557,0.59,12.7,25.2,0.206,0.522,0.485,10.9,23.1,0.165
0,2021-22,MEM,NBA,80,55,25,0.54,5.85,-0.4,5.45,100.2,114.5,108.7,0.521,0.552,11.2,29.9,0.18,0.521,0.554,13.3,20.6,0.195
0,2021-22,GSW,NBA,80,51,29,0.53,5.34,-0.02,5.32,98.5,112.3,106.9,0.551,0.581,13.5,22.8,0.179,0.509,0.568,13.1,21.4,0.202
0,2021-22,MIA,NBA,80,52,28,0.52,4.69,-0.16,4.53,95.9,113.6,108.8,0.546,0.583,13.4,23.6,0.204,0.523,0.54,13.8,24.7,0.21
0,2021-22,MIL,NBA,80,50,30,0.48,3.29,-0.1,3.19,99.8,115,111.8,0.547,0.58,12,23.2,0.198,0.536,0.56,11.6,19.1,0.165
0,2021-22,DAL,NBA,80,50,30,0.47,2.64,-0.06,2.58,95.3,112.4,109.6,0.535,0.569,11.6,21.2,0.191,0.522,0.571,12.2,18.7,0.185
0,2021-22,MIN,NBA,81,46,35,0.47,2.72,-0.1,2.62,100.9,114.3,111.6,0.538,0.573,12.4,24.4,0.198,0.535,0.537,14.2,26.3,0.226
0,2021-22,TOR,NBA,80,47,33,0.46,2.46,0.17,2.63,95.9,113.1,110.5,0.511,0.544,11,28.5,0.177,0.535,0.554,14.4,25.5,0.199
0,2021-22,PHI,NBA,80,49,31,0.46,2.36,0.07,2.43,96.2,113.2,110.7,0.533,0.577,11.6,19.8,0.231,0.523,0.565,12,22.8,0.19
0,2021-22,DEN,NBA,81,48,33,0.47,2.4,-0.1,2.3,97.8,114.3,111.9,0.556,0.589,13.2,21.9,0.193,0.537,0.543,11.7,23.2,0.185
0,2021-22,CLE,NBA,80,43,37,0.45,2.09,-0.13,1.95,96.1,111.6,109.4,0.536,0.57,13.3,24,0.199,0.52,0.569,12.4,21.6,0.17
0,2021-22, ATL,NBA,80,42,38,0.44,1.45,0.03,1.48,97.7,116.3,114.8,0.542,0.58,10.7,22.8,0.205,0.542,0.525,11.5,30.5,0.176
0,2021-22,BRK,NBA,80,42,38,0.41,0.56,0.05,0.62,99,113.2,112.6,0.538,0.574,12.5,23.7,0.197,0.521,0.564,11.8,20.1,0.202
0,2021-22,SAS,NBA,80,34,46,0.41,0.33,-0.18,0.14,100.1,112.4,112.1,0.528,0.556,11.1,23.9,0.164,0.532,0.54,12.1,20.8,0.174
0,2021-22,CHO,NBA,80,41,39,0.4,0.05,0.13,0.18,100.1,113.7,113.6,0.541,0.569,11.6,23.2,0.175,0.544,0.583,13.1,21.5,0.188
